gvkey,tic,cusip,conm,cik
1004,AIR,000361105,AAR CORP,1750
1019,AFAP,001038108,AFA PROTECTIVE SYSTEMS INC,2668
1045,AAL,02376R102,AMERICAN AIRLINES GROUP INC,6201
1050,CECO,125141101,CECO ENVIRONMENTAL CORP,3197
1062,ASA,G3156P103,ASA GOLD AND PRECIOUS METALS,1230869
1072,AVX,002444107,AVX CORP,859163
1075,PNW,723484101,PINNACLE WEST CAPITAL CORP,764622
1076,PRG,74319R101,PROG HOLDINGS INC,1808834
1078,ABT,002824100,ABBOTT LABORATORIES,1800
1084,WDDD,98159J200,WORLDS INC,1961
1094,ACETQ,004446100,ACETO CORP,2034
1096,MRCBF,617577101,MORGUARD CORP,
1097,ACMTA,004616207,ACMAT CORP  -CL A,2062
1104,ACU,004816104,ACME UNITED CORP,2098
1117,BKTI,05587G203,BK TECHNOLOGIES CORP,2186
1119,ADX,006212104,ADAMS DIVERSIFIED EQUITY FD,2230
1121,AE,006351308,ADAMS RESOURCES & ENERGY INC,2178
1161,AMD,007903107,ADVANCED MICRO DEVICES,2488
1166,ASMIY,N07045102,ASM INTERNATIONAL NV,351483
1186,AEM,008474108,AGNICO EAGLE MINES LTD,2809
1209,APD,009158106,AIR PRODUCTS & CHEMICALS INC,2969
1210,AIRT,009207101,AIR T INC,353184
1224,EGN1,010284008,SPIRE ALABAMA INC,3146
1225,SO1,010392009,ALABAMA POWER CO,3153
1230,ALK,011659109,ALASKA AIR GROUP INC,766421
1234,ATRI,049904105,ATRION CORP,701288
1254,MATX,57686G105,MATSON INC,3453
1257,ALX,014752109,ALEXANDER'S INC,3499
1262,AGMJF,015644107,ALGOMA CENTRAL CORP,
1263,ASTL,015658107,ALGOMA STEEL GROUP INC,1860805
1266,ALCO,016230104,ALICO INC,3545
1272,PBAJ,71648P103,PETRO USA INC,745543
1274,Y,017175100,ALLEGHANY CORP,775368
1300,HON,438516106,HONEYWELL INTERNATIONAL INC,773840
1327,SWKS,83088M102,SKYWORKS SOLUTIONS INC,4127
1352,GYLD,04273H104,ARROW DOW JONES GLBL YLD ETF,
1380,HES,42809H107,HESS CORP,4447
1388,AMR1,023771009,AMERICAN AIRLINES INC,4515
1393,UHAL,023586100,U-HAUL HOLDING CO,4457
1397,ABLT,024591406,AMERICAN BILTRITE INC,4611
1410,ABM,000957100,ABM INDUSTRIES INC,771497
1414,PRI,74164M108,PRIMERICA INC,1475922
1417,VBF,46132L107,INVESCO BOND FUND,5094
1439,ECOL,91734M103,US ECOLOGY INC,1783400
1440,AEP,025537101,AMERICAN ELECTRIC POWER CO,4904
1447,AXP,025816109,AMERICAN EXPRESS CO,4962
1448,AXP1,025818006,AMERICAN EXPRESS CREDIT CORP,4969
1449,AFL,001055102,AFLAC INC,4977
1487,AIG,026874784,AMERICAN INTERNATIONAL GROUP,5272
1507,HYEM,92189F353,VANECK EMG MKTS HIGH YLD BD,
1526,ANAT,02772A109,AMERICAN NATIONAL GROUP-DUP,1801075
1545,ARL,029174109,AMERICAN REALTY INVESTORS,1102238
1559,AMS,029595105,AMERICAN SHARED HSPTL SERV,744825
1562,AMSWA,029683109,AMERICAN SOFTWARE  -CL A,713425
1585,AVD,030371108,AMERICAN VANGUARD CORP,5981
1598,AME,031100100,AMETEK INC,1037868
1602,AMGN,031162100,AMGEN INC,318154
1613,AP,032037103,AMPCO-PITTSBURGH CORP,6176
1618,AXR,032159105,AMREP CORP,6207
1632,ADI,032654105,ANALOG DEVICES INC,6281
1650,ANDR,034393108,ANDREA ELECTRONICS CORP,6494
1659,ANDE,034164103,ANDERSONS INC,821026
1661,NBR,G6359F137,NABORS INDUSTRIES LTD,1163739
1678,APA,03743Q108,APA CORP,1841666
1686,APOG,037598109,APOGEE ENTERPRISES INC,6845
1689,AEP1,03799Y005,APPALACHIAN POWER,6879
1690,AAPL,037833100,APPLE INC,320193
